[2024-11-25T17:49:19.285+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file manual__2024-11-25T17:49:10.430172+00:00 [queued]>
[2024-11-25T17:49:19.301+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T19:23:24.574+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:24:24.627+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:25:24.689+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:26:24.749+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:27:24.797+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:28:24.855+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:29:24.899+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:30:24.958+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:31:25.012+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:32:25.068+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:33:25.126+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:34:25.184+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:35:25.239+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:36:25.300+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:37:25.359+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:38:25.421+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:39:25.475+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:40:25.532+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:41:25.590+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:42:25.651+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:43:25.702+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:44:25.763+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
[2024-11-25T19:45:25.816+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc3893edb80>
