[2024-11-25T17:22:33.156+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.196+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T17:22:33.197+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T19:48:41.756+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:49:41.766+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:50:41.793+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:51:41.837+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:52:41.874+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:53:41.927+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:54:41.985+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:55:42.042+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:56:42.100+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:57:42.160+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:58:42.215+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T19:59:42.274+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:00:42.319+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:01:42.381+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:02:42.438+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:03:42.499+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:04:42.529+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:05:42.591+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:06:42.649+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:07:42.707+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:08:42.748+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:09:42.805+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:10:42.861+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:11:42.919+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:12:42.957+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:13:42.963+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:14:43.022+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:15:43.080+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:16:43.140+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:17:43.174+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:38:24.070+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7fc38685cee0>
[2024-11-25T20:39:23.179+0000] {local_task_job_runner.py:294} WARNING - State of this instance has been externally set to failed. Terminating instance.
[2024-11-25T20:39:23.302+0000] {process_utils.py:131} INFO - Sending 15 to group 178. PIDs of all processes in the group: [178]
[2024-11-25T20:39:23.304+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 178
[2024-11-25T20:39:23.310+0000] {taskinstance.py:1632} ERROR - Received SIGTERM. Terminating subprocesses.
[2024-11-25T20:39:23.961+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=178, status='terminated', exitcode=0, started='17:22:33') (178) terminated with exit code 0
[2024-11-25T21:03:29.523+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T21:03:29.532+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T21:03:29.533+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T21:03:29.551+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonSensor): detect_file> on 2024-11-24 16:00:00+00:00
[2024-11-25T21:03:29.567+0000] {standard_task_runner.py:57} INFO - Started process 172 to run task
[2024-11-25T21:03:29.573+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'drift_detection_dag', 'detect_file', 'scheduled__2024-11-24T16:00:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/drift-detection.py', '--cfg-path', '/tmp/tmpjwirg493']
[2024-11-25T21:03:29.577+0000] {standard_task_runner.py:85} INFO - Job 4: Subtask detect_file
[2024-11-25T21:03:29.683+0000] {task_command.py:416} INFO - Running <TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [running]> on host e252fbffc21c
[2024-11-25T21:03:29.805+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_detection_dag' AIRFLOW_CTX_TASK_ID='detect_file' AIRFLOW_CTX_EXECUTION_DATE='2024-11-24T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-11-24T16:00:00+00:00'
[2024-11-25T21:03:29.807+0000] {python.py:72} INFO - Poking callable: <function _detect_file at 0x7f57316b0dc0>
[2024-11-25T21:03:29.843+0000] {base.py:287} INFO - Success criteria met. Exiting.
[2024-11-25T21:03:29.858+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=drift_detection_dag, task_id=detect_file, execution_date=20241124T160000, start_date=20241125T210329, end_date=20241125T210329
[2024-11-25T21:03:29.945+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2024-11-25T21:03:30.014+0000] {taskinstance.py:2778} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-11-25T21:38:42.174+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T21:38:42.190+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_detection_dag.detect_file scheduled__2024-11-24T16:00:00+00:00 [queued]>
[2024-11-25T21:38:42.191+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-11-25T21:38:42.235+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonSensor): detect_file> on 2024-11-24 16:00:00+00:00
[2024-11-25T21:38:42.258+0000] {standard_task_runner.py:57} INFO - Started process 225 to run task
[2024-11-25T21:38:42.273+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'drift_detection_dag', 'detect_file', 'scheduled__2024-11-24T16:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/drift-detection.py', '--cfg-path', '/tmp/tmpdts9h2rv']
[2024-11-25T21:38:42.287+0000] {standard_task_runner.py:85} INFO - Job 3: Subtask detect_file
